	Taxon	Kingdom
106b589da1eefb66b61ac6adf638e457	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__Candidatus_Pacearchaeota	Archaea
4ab55ab98e84ae4531b19a7281a984c3	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__Candidatus_Pacearchaeota	Archaea
f743f3a9d25f4a6622a5a26ed47c0909	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__Candidatus_Staskawiczbacteria	Archaea
2498b43fdca326125db5f5124758f177	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__uncultured_archaeon	Archaea
3a150567d6489734c4f0075ffc6f0686	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__uncultured_archaeon	Archaea
7130073e9568a7386d72c177c30588d8	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__uncultured_archaeon	Archaea
765f1948714ce2ed7cc6cea0677a967a	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5; s__uncultured_archaeon	Archaea
804f07382b731652bc473f3c058fe5a0	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
8ac8b5eb68f2621d2cd51859cce27ddf	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
95573233bedc3bd6efddf45e1cfdf877	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
bcb2624efa9cfbb1847daed877a02c4f	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
d6f672f9fbf9a875e8c67b52b4d80feb	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
d90e95a7408f018de47249d4da742992	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
d98f107b8c2023288acc9d7d847e3f7e	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales	Archaea
4cd6ba4854285df3fbbd651eea2e94be	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_archaeon	Archaea
ba32fe87d24c6c3c0ea8600da96b60b0	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_archaeon	Archaea
7fdbc71d23c791ecb19c6cda60656ae4	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_bacterium	Archaea
8c4d49fc2e9a563c81a5c2c85fba4e33	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_bacterium	Archaea
981cddee3110b1dcf4a557a2f279281d	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_bacterium	Archaea
cb342323d2b90642917b8f25bfc3e152	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_bacterium	Archaea
166a8102c18c9f98b864fa3a5cf7cddd	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	Archaea
606cd8f57ea3dd8c56235dd74fc42eb3	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	Archaea
771904ecfa982e5024fb3703b9136e05	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	Archaea
a3ab13bd68735b0cf0f9dd7709f1dcf3	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	Archaea
aa7a8843bff6cf64ca57f2db5ad6eb7a	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	Archaea
c5bdf5a4f376ec7c1165844fe4e00ef9	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Woesearchaeales; g__Woesearchaeales; s__uncultured_euryarchaeote	Archaea
76be82f778ff47376a124579528eea3e	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata	Archaea
cfbbf3ba7281dc4603525c562e10d508	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_archaeon	Archaea
16f300a764ed32dd3259f6be8ff697de	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_haloarchaeon	Archaea
fc9d49ee09f7b7b9ccc4e825344b0b5f	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_haloarchaeon	Archaea
de0a9ae2138b6d5fe5dea3a954734bc7	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__Methanomassiliicoccus; s__uncultured_archaeon	Archaea
2c4599c5452aead1528935c8302640d6	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__uncultured; s__uncultured_archaeon	Archaea
a3df2b32573eda3597215c8eac138d46	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae; g__Candidatus_Methanoplasma; s__uncultured_archaeon	Archaea
002a58bb5f0575a046148f2ee1ee8dc2	d__Bacteria	Bacteria
04732dd27787f0bd18d13a49cdf31dae	d__Bacteria	Bacteria
0c6e268bcb5c7cc1486909b122ab981d	d__Bacteria	Bacteria
13eef876ac2408278cc9caaee3f82ba6	d__Bacteria	Bacteria
17f7d2d11abb44b1d1f4ca33944d3696	d__Bacteria	Bacteria
1994972129076f2a553c09d998085a7d	d__Bacteria	Bacteria
1f208b1e03207715ab5eecf81afd44ac	d__Bacteria	Bacteria
22e86f4e6cce2fcec79e3ec12036b570	d__Bacteria	Bacteria
23d69e40b011f6fafee88752963ba615	d__Bacteria	Bacteria
275ee2e619b4f94ecc855fdc2fbde926	d__Bacteria	Bacteria
2cf0e0728c4b86b4f2adbba6e7d3de83	d__Bacteria	Bacteria
2f09bc69080f7ba098218c0356cb894d	d__Bacteria	Bacteria
2f34d8d97cd732f8c20eb9eb20ea2776	d__Bacteria	Bacteria
346389c9259fa209225d179da977b45c	d__Bacteria	Bacteria
36c0b3f0932af976caa21bbb1f8a6048	d__Bacteria	Bacteria
36efd250d98a6c130e7d153b48eb9701	d__Bacteria	Bacteria
3b5fc2ee5290e7f0f40ca20ea1cf1b3c	d__Bacteria	Bacteria
3be2f29e49419e83205fb6b74e00b71b	d__Bacteria	Bacteria
41c34e84ce65fba113ea84d635df703e	d__Bacteria	Bacteria
44d97b60655f69fad4fb81df8e6d69b2	d__Bacteria	Bacteria
471c0dc1b7460f183aa185fe8fc3263c	d__Bacteria	Bacteria
472c3923991ae597ab4d3b94b582c361	d__Bacteria	Bacteria
4cb94ddec8be0b87f5cb5c1e176a66d0	d__Bacteria	Bacteria
4dd23828b9bc482017f0f953ad805492	d__Bacteria	Bacteria
