	68_BH1	106_BH1	166_BH1	186_BH1	259_BH1	86_BH1	23_BH1	56_BH1	295_BH1	305_BH1	50_BH6	162_BH6	198_BH6	100_BH6	285_BH6	345_BH6	535_BH6	564_BH6	655_BH6	695_BH6	711_BH6
10fd8392a089f99d85af893360f12c06	0	0	0.00080811458507496	0.00120307988450433	0.000450577302168403	0	0	0	0.000521811730327698	0.000504662116697107	0	0	0	0	0	0	0	0	0	0	0
e212d1b498b75312fa4bfbf65fc474ac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eccd9a63335490600e8ae94b5d207f63	0	0	0	0	0	0.000194798870166553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc6622c636a5210293fb2873fc4761d9	0	0.00127034057225818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1283db423a62fe6c8aebdb58e7bfb066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9a7e2439ef349a5a025149e7b78d88da	0	0	0	0	0	0	4.64597658427802E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d89f78a4b8835a6dc5a39ac40357932c	0	0.000846893714838788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62f1ea64c95c6fe81714e6df4aaac95b	0	0	0	0	0	0	0	0	0	0	0.00121482081392995	0	0	0	0	0	0	0	0	0	0
7439ef38f8d802bac04b9b843f50b966	0	0	0	0.000120307988450433	0	0	0	0	8.34898768524316E-05	0	0	0	0	0	0	0	0	0	0	0.000328515111695138	0
4d5d4c49069cfbe04b58ace0ce8bcedc	0	0	0	0	0	0.000598310815511556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166a8102c18c9f98b864fa3a5cf7cddd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a6d2efcaa7649e740df3f2c7518b95c	0	0	0	0	0	0.000278284100237933	0	7.05367849333427E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
bee0912158e6b8c6aa19fe0edb3eb250	0	0	0	0	0	0.000486997175416383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc59e58e9399d018dec46018a28dc355	0	0	8.35980605249958E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a4e26907ad59599ddec9cb7b25a51c7	0	0.000151231020506926	0.000250794181574987	0.00018046198267565	0	0	0	0	0	9.61261174661155E-05	0	0	0	0	0	0	0	0	0	0	0
817d9f421f4c0dfa85e33e780870b181	0	0	0	0	0	4.17426150356899E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fab88bcebea32237dae3f05b0b13e70f	0	0	0	0	0	0.0012244500410469	0.00102211484854116	0.000564294279466742	0	0.000913198115928098	0	0	0	0	0	0	0	0	0	0	0
5b5fc41e4def55055e7e165fecdfc4f1	0	0	0	0	0	0.000361769330309313	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000465396408234779	0
bffd6e7320d0aa746feb22974f1388eb	0	0	0	0	0	0.000890509120761385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
674d3fca8b60d684ea44b52ad3fd4c73	0	0	0.00376191272362481	0.00105269489894129	0	0	0	0	0	0	0.0105284470540595	0.0178385046019546	0	0.0336498693048341	0	0	0	0	0	0	0
d2a51f5984325efed7d8cb0fd55b6116	0	0	0	0	0	0	0.000162609180449731	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5591b97cb5297bf09f7bfa1a3448f551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2af52fc6f48ab4d05c96dad9527d8a2	0	0	0	0	0	0.000528739790452072	0.00243913770674596	0.00122263760551127	0	0	0	0	0	0	0	0	0	0	0	0	0
a669eb6ad9a74b0022af57efee724096	0	0	0	0	0	0.000361769330309313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
613f9dbd22c6b0c4bca9044cdcf23462	0	0	0	0	0	0.00012522784510707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a437bca65f1b2a02c2353b8674e2f5e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63628334e46c0f0e45c8559eda0bbf2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f37fc1dccfeba0004cbeb4f1ad6083c6	0.00142335540565629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fb3b08e594aa81ddf2a47b48ce6d1a23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000793627465389024	0	0	0
11ffdb969badbdad1ca802c9dfa246ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
668434c539ae226e5f45b4fa9cbd0cb8	0	0	0	0	0	0.000111313640095173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426e6dbcaa7d82da0499975943909460	0	0	0	0	0	9.73994350832765E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ab090e9856f3c7dc0aeea680dea4bc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c92aa0631f5dc354ed6ffc693373b91d	0.00216597561730305	0	0	0	0	0	0	0.00279795913568926	0	0	0	0	0	0	0	0	0	0	0	0	0
19edb6aac19adfc01a60b51c83555494	0	0	0	0	0	0	0	0	0	0.000240315293665289	0	0	0	0	0	0	0	0	0	0	0
06b358f4bb5800345f45bb01a371a71e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28b2eb29c763f9b68f30f9b2623250e0	0	0	0	0	0	0.000347855125297416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bad774254c0644e3ddab658a7a90750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b10b6ee3067786718c38501c873a07f	0	0	0	0.000210538979788258	0	0	0	0	0	0	0	0	0	0	0.000689972401103956	0	0	0	0	0	0
18a9308245d01a9f2dccbaa5ad581a54	0	0	0	0	0	0.00012522784510707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92172b7231563e4a055d3a499816e8be	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00513209729299939	0	0.0161664854060727	0.00536579600520033	0.000821287779237845	0.000542049489118356
3bd6bfac83f3b1f82b0aaa54b12862d5	0	0	0	0	0	9.73994350832765E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8fedf847ed7950dde3fa69447d29a5fa	0	0	0	0	0	0.00020871307517845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
466b1b22ab66cd37e8f4a985674fcc80	0	0	0	0	0	0.000153056255130863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ccf23b33b788a09820bd09265f96205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8e7aa11bcb46e64c8c9f5b09c9628f36	0	0	0	0	0	6.95710250594832E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
